[6572, 16, 13] [-4, -31, 53]
[6573, 16, 13] [-3, -7, 313]
[6585, 16, 13] [-3, 5, -439]
[6601, 16, 13] [-7, -23, 41]
[6604, 16, 11] [-4, 13, -127]
[6620, 16, 11] [-4, 5, -331]
[6645, 16, 11] [-3, 5, -443]
[6648, 16, 13] [-8, -3, 277]
[6657, 16, 13] [-3, -7, 317]
[6665, 16, 13] [5, -31, -43]
[6680, 16, 11] [-8, 5, -167]
[6681, 16, 11] [-3, 17, -131]
[6684, 16, 13] [-4, -3, 557]
[6685, 16, 13] [5, -7, -191]
[6693, 16, 13] [-3, -23, 97]
[6716, 16, 11] [-4, -23, 73]
[6721, 16, 11] [-11, 13, -47]
[6744, 16, 13] [-8, -3, 281]
[6745, 16, 11] [5, -19, -71]
[6748, 16, 13] [-4, -7, 241]
[6764, 16, 13] [-4, -19, 89]
[6785, 16, 13] [5, -23, -59]
[6789, 16, 13] [-3, -31, 73]
[6792, 16, 11] [8, -3, -283]
[6808, 16, 11] [-8, -23, 37]
[6812, 16, 11] [-4, 13, -131]
[6828, 16, 13] [-4, -3, 569]
[6837, 16, 13] [-3, -43, 53]
[6844, 16, 11] [-4, 29, -59]
[6853, 16, 13] [-7, -11, 89]
[6873, 16, 11] [-3, 29, -79]
[6908, 16, 11] [-4, -11, 157]
[6920, 8, 5] [8, 5, 173]
[6924, 16, 11] [-4, -3, 577]
[6940, 16, 13] [-4, 5, -347]
[6945, 16, 11] [-3, 5, -463]
[6952, 16, 13] [8, -11, -79]
[6956, 16, 11] [-4, 37, -47]
[6965, 16, 13] [5, -7, -199]
[6968, 16, 11] [-8, 13, -67]
[6969, 16, 13] [-3, -23, 101]
[6981, 16, 11] [-3, 13, -179]
[6985, 16, 13] [5, -11, -127]
[7004, 16, 11] [-4, 17, -103]
[7005, 16, 11] [-3, 5, -467]
[7021, 16, 13] [-7, 17, -59]
[7032, 16, 11] [-8, -3, 293]
[7049, 16, 13] [-7, -19, 53]
[7052, 16, 11] [-4, 41, -43]
[7077, 16, 11] [-3, -7, 337]
[7085, 16, 10] [5, 13, 109]
[7089, 16, 11] [-3, 17, -139]
[7112, 16, 11] [8, -7, -127]
[7116, 16, 13] [-4, -3, 593]
[7144, 16, 13] [8, -19, -47]
[7160, 16, 13] [-8, 5, -179]
[7180, 16, 11] [-4, 5, -359]
[7185, 16, 13] [-3, 5, -479]
[7189, 16, 13] [-7, 13, -79]
[7192, 16, 11] [-8, 29, -31]
[7196, 16, 13] [-4, -7, 257]
[7205, 16, 11] [5, -11, -131]
[7208, 16, 10] [8, 17, 53]
[7212, 16, 11] [-4, -3, 601]
[7221, 16, 13] [-3, 29, -83]
[7228, 16, 11] [-4, 13, -139]
[7240, 16, 10] [8, 5, 181]
[7257, 16, 13] [-3, 41, -59]
[7276, 16, 13] [-4, 17, -107]
[7285, 16, 13] [5, -31, -47]
[7304, 16, 11] [8, -11, -83]
[7305, 16, 11] [-3, 5, -487]
[7329, 16, 13] [-3, -7, 349]
[7336, 16, 13] [8, -7, -131]
[7337, 16, 13] [-11, -23, 29]
[7340, 16, 13] [-4, 5, -367]
[7345, 16, 10] [5, 13, 113]
[7356, 16, 11] [-4, -3, 613]
[7365, 16, 13] [-3, 5, -491]
[7368, 16, 11] [8, -3, -307]
[7372, 16, 13] [-4, -19, 97]
[7384, 16, 11] [-8, 13, -71]
[7385, 16, 13] [5, -7, -211]
[7404, 16, 13] [-4, -3, 617]
[7413, 16, 11] [-3, -7, 353]
[7429, 16, 13] [17, -19, -23]
[7437, 16, 11] [-3, 37, -67]
[7449, 16, 11] [-3, 13, -191]
[7464, 16, 13] [8, -3, -311]
[7469, 16, 13] [-7, -11, 97]
[7473, 16, 13] [-3, -47, 53]
[7485, 16, 13] [-3, 5, -499]
[7505, 16, 11] [5, -19, -79]
[7512, 16, 11] [-8, -3, 313]
[7521, 16, 13] [-3, -23, 109]
[7532, 16, 13] [-4, -7, 269]
[7544, 16, 11] [-8, -23, 41]
[7545, 16, 11] [-3, 5, -503]
[7553, 16, 11] [-7, 13, -83]
[7557, 16, 11] [-3, -11, 229]
[7564, 16, 13] [-4, -31, 61]
[7565, 16, 10] [5, 17, 89]
[7580, 16, 11] [-4, 5, -379]
[7585, 16, 10] [5, 37, 41]
[7592, 16, 10] [8, 13, 73]
[7608, 16, 11] [-8, -3, 317]
[7612, 16, 13] [-4, -11, 173]
[7640, 16, 13] [-8, 5, -191]
[7645, 16, 11] [5, -11, -139]
[7657, 16, 11] [13, -19, -31]
[7660, 16, 13] [-4, 5, -383]
